Original Prompt,Best Prompt
Create a fundraising campaign,"Conceptualize and execute a multi-pronged fundraising effort that integrates digital platforms, grassroots mobilization, and strategic partnerships to cultivate a robust network of donors and secure the requisite funding for a specific initiative or organizational goal."
Give real estate advice,"Impart valuable counsel on the multifaceted aspects of real estate, spanning market trends, property assessments, negotiation tactics, and legal frameworks, empowering individuals to make well-informed choices regarding their real estate endeavors."
Write an obituary,"Construct a poetic and heartfelt epitaph that immortalizes the enduring spirit, profound wisdom, and profound footprint of a life well-lived, now concluded"
Give parenting tips,"Share your expertise in promoting positive parent-child relationships, discipline methods, and creating a nurturing environment conducive to a child's emotional, cognitive, and social growth."
Suggest a book to read,Suggest a thought-provoking book that would enrich my understanding and foster personal growth.
Write a thank you note,Craft an eloquent letter acknowledging and expressing your profound thankfulness for a thoughtful gesture or act of generosity bestowed upon you
Give productivity tips,"Offer insights and actionable advice on cultivating habits and routines that foster focus, prioritization, and effective task execution to boost productivity."
Help with public speaking,Mastering the art of eloquent and impactful public discourse
Write an apology email,"Pen a heartfelt correspondence aimed at taking accountability for a misstep or transgression, while seeking understanding and forgiveness from the aggrieved party."
Help organize thoughts,Assist in structuring and streamlining cognitive processes for enhanced clarity and focus
Write a cover letter,"Construct a personalized letter that effectively communicates your unique value proposition, showcasing your alignment with the company's mission and the position's requirements."
Give networking tips,Illuminate strategies to seamlessly navigate the intricate landscape of network infrastructure and facilitate robust data exchange.
Write a personal statement,"Construct a thought-provoking personal narrative that paints a vivid picture of your individuality, growth mindset, and the vision that fuels your ambition to excel in this endeavor."
Give self-care advice,"Propose holistic approaches to enhancing self-esteem, resilience, and personal fulfillment through intentional self-care activities."
Write a motivational speech,Formulate a passionate and electrifying rhetoric with the objective of kindling the embers of drive and perseverance in your captive audience
Help with conflict resolution,"Propose frameworks for analyzing conflicts objectively, fostering empathy and understanding between parties, and facilitating collaborative problem-solving to reach fair and sustainable resolutions."
Give study techniques,Delineate a multifaceted collection of study skills and approaches aimed at fostering a conducive learning environment and maximizing academic achievement.
Help write a novel,"Contribute professional advice and constructive critiques to aid in the writing and refinement of a novel, ensuring a polished and impactful final product that resonates with readers through its compelling storytelling, authentic characters, and evocative prose"
Give budgeting tips,"Recommend techniques for setting realistic financial goals, monitoring progress, and making necessary adjustments to adapt to changing circumstances while adhering to a disciplined budgeting framework."
Help write a thesis statement,"Craft a compelling thesis statement that serves as the foundation for your written discourse, articulating the core premise you aim to explore and substantiate."
Give job interview tips,"Outline a comprehensive approach to job interview preparation, including researching the role and organization, practicing responses, dressing appropriately, and following up effectively after the interview."
Write a short film script,"Pen a condensed yet visually evocative screenplay that encapsulates the core of a captivating narrative, designed to unfold within the confines of a short film's runtime."
Help with time management,"Exploring approaches to balance competing demands, deadlines, and goals through structured time allocation and planning for optimal time management"
Write a children's story,"Conceive an enthralling tale that resonates with the innocence and unbridled creativity of childhood, fostering a love for literature from an early age."
Give negotiation tips,"Recommend methods for honing negotiation prowess, covering aspects like active listening, persuasive communication, leveraging bargaining power, and creating value through collaborative problem-solving."
Write a company mission statement,"Compose a comprehensive yet succinct statement that captures the essence of your organization's raison d'�tre, its ethical foundations, and the overarching goals it strives to achieve through its collective efforts."
Help write a blog introduction,Formulate a compelling introductory segment for a web-based blog that grabs the reader's interest and previews the central themes to be discussed.
Give presentation tips,"Propose recommendations and advice on how to effectively communicate ideas, concepts, or proposals through an oral presentation format."
Write code documentation,"Create comprehensive technical documentation that explains the functionality, usage, and implementation details of a software system or application"
Help with marketing strategies,"I seek your expertise in developing innovative and data-driven marketing strategies that align with our business objectives, target the right audience segments, and drive measurable results across various channels."
Give leadership advice,"Share your expertise on the essential traits, behaviors, and practices that distinguish exceptional leaders, and how one can hone their leadership abilities to drive success and foster growth within an organization."
Write a fictional diary entry,"Pen a fictitious personal account, chronicling the introspective musings and happenings in the life of an invented individual on a given date."
